network,station,channel
SS,14764,DPZ
SS,09448,DP1
SS,16788,DP1
SS,14537,DPZ
SS,18365,DPZ
SS,14599,DP1
SS,16415,DP2
SS,17282,DP1
SS,09431,DPZ
SS,09769,DP1
SS,15255,DP2
SS,10899,DPZ
SS,10495,DPZ
SS,16814,DP2
SS,09275,DP2
SS,09806,DP1
SS,10275,DP2
SS,09275,DP2
SS,17875,DP1
SS,10406,DP1
SS,04916,DP1
SS,14565,DP2
SS,17521,DP2
SS,16490,DPZ
SS,18365,DP2
SS,18042,DP1
SS,10495,DP1
SS,06585,DP1
SS,09332,DPZ
SS,10199,DP1
SS,09218,DPZ
SS,10359,DPZ
SS,16684,DP1
SS,10386,DP2
SS,09410,DPZ
SS,17859,DP1
SS,17024,DP2
SS,18843,DP2
SS,10330,DP1
SS,18539,DP1
SS,10591,DPZ
SS,05322,DP1
SS,09275,DP1
SS,10820,DPZ
SS,10386,DP2
SS,14479,DPZ
SS,17442,DP1
SS,07499,DP2
SS,15672,DP1
SS,10915,DP2
SS,14625,DPZ
SS,14768,DP2
SS,09654,DP2
SS,04973,DPZ
SS,16006,DPZ
SS,17878,DP2
SS,10763,DP2
SS,09501,DP1
SS,17858,DP1
SS,10586,DP1
SS,04275,DP2
SS,05338,DPZ
SS,09654,DPZ
SS,15884,DPZ
SS,10830,DP2
SS,10820,DP2
SS,18638,DP2
SS,16490,DP1
SS,10893,DP1
SS,10737,DP1
SS,15350,DP2
SS,05230,DPZ
SS,16684,DP2
SS,10899,DPZ
SS,10430,DPZ
SS,14625,DP2
SS,09769,DP1
SS,17215,DP2
SS,17024,DP1
SS,10830,DP1
SS,17227,DPZ
SS,18157,DP1
SS,10386,DP2
SS,14564,DP1
SS,09501,DP1
SS,10277,DP1
SS,14648,DP1
SS,17130,DP2
SS,09410,DP2
SS,10294,DPZ
SS,16878,DP2
SS,10813,DPZ
SS,16870,DPZ
SS,10776,DP1
SS,08825,DPZ
SS,14768,DPZ
SS,17858,DP2
SS,14648,DP2
SS,16814,DP2
SS,18739,DP1
SS,10935,DPZ
SS,17877,DP1
SS,15753,DP1
SS,10485,DPZ
SS,10485,DPZ
SS,10817,DP1
SS,10817,DP1
SS,10591,DP2
SS,18308,DP2
SS,10485,DPZ
SS,17442,DP1
SS,15249,DPZ
SS,17878,DPZ
SS,17952,DP1
SS,09304,DP1
SS,18272,DPZ
SS,10867,DPZ
SS,10230,DP1
SS,14605,DPZ
SS,14457,DP1
SS,10304,DP2
SS,17853,DP2
SS,10485,DPZ
SS,17929,DP2
SS,17723,DPZ
SS,16788,DP2
SS,09637,DP1
SS,17723,DP2
SS,10505,DP1
SS,14537,DPZ
SS,10359,DP1
SS,09508,DP1
SS,14764,DPZ
SS,09332,DP1
SS,16814,DPZ
SS,10800,DP2
SS,18462,DPZ
SS,10230,DP1
SS,18895,DP2
SS,10524,DPZ
SS,03659,DP1
SS,16684,DP1
SS,09268,DP1
SS,17016,DPZ
SS,18638,DPZ
SS,18011,DP1
SS,14457,DPZ
SS,09220,DPZ
SS,03761,DP2
SS,10845,DPZ
SS,16814,DPZ
SS,09529,DPZ
SS,05338,DP2
SS,18596,DPZ
SS,10278,DP2
SS,09448,DPZ
SS,14564,DPZ
SS,09304,DP1
SS,06569,DP2
SS,10935,DPZ
SS,09220,DPZ
SS,10891,DPZ
SS,10330,DPZ
SS,07357,DP2
SS,10368,DP2
SS,09270,DPZ
SS,17892,DPZ
SS,05230,DP2
SS,05283,DPZ
SS,10872,DP2
SS,05322,DP1
SS,10872,DP2
SS,09309,DP2
SS,06524,DP2
SS,10817,DP2
SS,17940,DPZ
SS,18411,DP1
SS,14648,DP1
SS,10872,DPZ
SS,09218,DP2
SS,07499,DPZ
SS,10317,DPZ
SS,14976,DP1
SS,10317,DP1
SS,17223,DPZ
SS,10317,DPZ
SS,10706,DP1
SS,07111,DP1
SS,10409,DPZ
SS,18157,DP1
SS,16684,DP2
SS,17456,DP1
